All ingredients in cryoprotective solution,DMSO usage,Cooling rate,Viability,Recovery,Doubling time,Comments about method,Comments about results,Source (DOI link),Protective protein type,Protective protein concentration,Non-reducing sugar type,Non-reducing sugar concentration,PEG weight,PEG concentration,Alternative CPA type,Alternative CPA concentration,Basal medium,Source
"0.05 M glucose, 0.05 M sucrose,and 1.5 M ethylene glycol(cocktail solution)","0
",−1 ◦C/min from 25◦C to−80 ◦C,84.0 ±1.0%,"didn't mentioned, but can get approximate prediction from percentage of early apoptotic cells(4.7 ±0.9%) and late apoptotic cells(4.4 ±0.5%)",(37.8 ±1.9%),,,https://doi.org/10.3390/life13061286 ,,,,,,,,,,
1) STD10: 10% Me2SO (DMSO) + 4% human albumin (HA) in saline,10%,"-1°C/min D570°C, -2°C/min to -45°C, -5°C/min to -100°C, then stored in liquid nitrogen (-196°C)", 95.2% ± 0.9,90%,"No significant difference in Max PDT among STD10, CS2, CS10, PIM1, PIM2","- ASCs isolated from adipose tissue (lipoaspirate) of five healthy donors via collagenase digestion, cultured in DMEM with 10% pooled human platelet lysate (pHPL).
- Cryopreserved in five media (STD10, CS2, CS10, PIM1, PIM2) at 2×10^6 cells/tube, frozen in a rate-controlled freezer, stored in liquid nitrogen.- - Post-thaw: viability/recovery via Acridine Orange/DAPI, proliferation via Incucyte imaging, migration via transwell assay, phenotype via flow cytometry (CD73, CD90, CD105, CD45, CD31), differentiation (adipogenic, chondrogenic), and immunomodulation (T cell suppression, IDO1/PDL1/PDL2 expression).
- Statistical analysis: One-way ANOVA with Tukey’s test.","- STD10, CS10, and PIM2 showed higher viability than CS2; PIM1 and PIM2 had better recovery than CS2.
- All media preserved ASC phenotype (CD73+, CD90+, CD105+, CD45-, CD31-) and differentiation potential (adipogenic, chondrogenic).- Proliferation and migration were comparable across media, though CS10 reached confluency faster.
- T cell suppression was Me2SO dose-dependent (CS10 > STD10 > CS2, PIM2 > PIM1), but IDO1, PDL1, PDL2 expression was comparable.
- PIM2 (2% Me2SO + 10% pentaisomaltose) is a less toxic,effective alternative to 10% Me2SO media, with potential for 1% Me2SO (PIM1).",10.1016/j.cryobiol.2020.05.014,,,,,,,,,,
2) CS2: 2% Me2SO + Dextran-40 in saline (CryoStor),2%,"-1°C/min D570°C, -2°C/min to -45°C, -5°C/min to -100°C, then stored in liquid nitrogen (-196°C)", 89.8% ± 0.9 ,78.9% ± 3.6 (p < 0.05 vs. PIM1/PIM2),"No significant difference in Max PDT among STD10, CS2, CS10, PIM1, PIM2; time to 100% confluency 90.5 h","Cryopreserved in five media (STD10, CS2, CS10, PIM1, PIM2) at 2×10^6 cells/tube, frozen in a rate-controlled freezer, stored in liquid nitrogen.","All media preserved ASC phenotype (CD73+, CD90+, CD105+, CD45-, CD31-) and differentiation potential (adipogenic, chondrogenic).",10.1016/j.cryobiol.2020.05.014,,,,,,,,,,
3) CS10: 10% Me2SO + Dextran-40 in saline (CryoStor),10%,"-1°C/min D570°C, -2°C/min to -45°C, -5°C/min to -100°C, then stored in liquid nitrogen (-196°C)",  95.8% ± 0.6,82%,"No significant difference in Max PDT among STD10, CS2, CS10, PIM1, PIM2; time to 100% confluency 81.3 h (p < 0.01 vs. CS2 and PIM1)","Post-thaw: viability/recovery via Acridine Orange/DAPI, proliferation via Incucyte imaging, migration via transwell assay, phenotype via flow cytometry (CD73, CD90, CD105, CD45, CD31), differentiation (adipogenic, chondrogenic), and immunomodulation (T cell suppression, IDO1/PDL1/PDL2 expression).","Proliferation and migration were comparable across media, though CS10 reached confluency faster.",10.1016/j.cryobiol.2020.05.014,,,,,,,,,,
4) PIM1: 1% Me2SO + 10% pentaisomaltose + 4% HA in saline,1%,"-1°C/min D570°C, -2°C/min to -45°C, -5°C/min to -100°C, then stored in liquid nitrogen (-196°C)", 89.8% ± 0.9 ,93.56% ± 5.2,"No significant difference in Max PDT among STD10, CS2, CS10, PIM1, PIM2; time to 100% confluency 90.4 h (p < 0.01 vs. CS10)",Statistical analysis: One-way ANOVA with Tukey’s test.,"T cell suppression was Me2SO dose-dependent (CS10 > STD10 > CS2, PIM2 > PIM1), but IDO1, PDL1, PDL2 expression was comparable.",10.1016/j.cryobiol.2020.05.014,,,,,,,,,,
5) PIM2: 2% Me2SO + 10% pentaisomaltose + 4% HA in saline,2%,"-1°C/min D570°C, -2°C/min to -45°C, -5°C/min to -100°C, then stored in liquid nitrogen (-196°C)",95.7% ± 0.5,93.8% ± 6.0,"No significant difference in Max PDT among STD10, CS2, CS10, PIM1, PIM2",,"PIM2 (2% Me2SO + 10% pentaisomaltose) is a less toxic, effective alternative to 10% Me2SO media, with potential for 1% Me2SO (PIM1)",10.1016/j.cryobiol.2020.05.014,,,,,,,,,,
"10 %DMSO, glucose and high polymer anhydrous dextrose (STEM-CELLBANKERTM )(CB) + xeno-free serum culture medium",10%,−1 ◦C/min to−80 ◦C,85.6 ± 5.7 %,"Ad-MSCs(87.8 ± 15.4 %), BM-MSCs(56.7 ± 16.1 %)","Ad-MSCs(38.1 ± 13.6h), BM-MSCs (47.7 ± 11.4h)","Propidium Iodide (PI) testing  accompany with the assesment which allow only alive cells counted for culculating the result. b-Galactosidase staining,  flow cytometryfor and relative monoclonal FITC or PE conjugated
antibodies were utilized to evaluate the degree of cellular senescence and property of cells (markers) respectively.","The result show that CB enhanced the preservation of MSC viability, growth and mesodermal differentiation potential when compared to DMSO in MesencultÒ -XF. Furthermore, the CB cryopreservation medium was better for Ad-MSCs compared to BM-MSCs.",https://doi.org/10.1007/s10561-014-9463-8,,,,,,,,,,
2.5%DMSO+30mmol/Ltrehalose,2.50%,"- Wait: Hold at 4.0°C
- Stage 1: Ramp 1.0°C/min to −5.0°C (sample)
- Stage 2: Ramp 21°C/min to −54.0°C (chamber)
- Stage 3: Ramp 17°C/min to −21.0°C (chamber)
- Stage 4: Ramp 2.0°C/min to −40.0°C (sample)
- Stage 5: Ramp 10°C/min to −80.0°C (sample)",(94.18±3.97)%,(91.18±7.40)%,"Not mentioned , but can utilize Colony Forming Units (Pre- and Postcryopreservation) eaasy result as the analyze of proliferation and differentiation capacity of stem cells average CFU (36.14±2.06)
×10^5(fresh UCB) and (31.86±0.64)×10^5(after thawing)","three cryoprotectants were assessed to compare their ability on store the umbilical cord blood (UCB), detailed processing of UCB isolation and subsequent properties assesment such as Colony Forming Units, CD34+,Cell Apoptosis Analysis and so on.","The data showed that group C exhibited higher cell viability and CFUs and a lower apoptosis rate after thawing than either group A,B,or D",https://doi.org/10.1155/2016/1396783,,,,,,,,,,
10%ethyleneglycol(EG)+ 2.0% DMSO ,2.00%,"- Wait: Hold at 4.0°C
- Stage 1: Ramp 1.0°C/min to −5.0°C (sample)
- Stage 2: Ramp 21°C/min to −54.0°C (chamber)
- Stage 3: Ramp 17°C/min to −21.0°C (chamber)
- Stage 4: Ramp 2.0°C/min to −40.0°C (sample)
- Stage 5: Ramp 10°C/min to −80.0°C (sample)",(92.35±5.26)%,(87.35±6.52),stem cells average CFU (36.14±2.06)×10^5(fresh UCB) and (27.78±0.58)×10^5(after thawing),,,https://doi.org/10.1155/2016/1396783,,,,,,,,,,
10% DMSO+ 2.0% dextran-40,10.00%,"- Wait: Hold at 4.0°C
- Stage 1: Ramp 1.0°C/min to −5.0°C (sample)
- Stage 2: Ramp 21°C/min to −54.0°C (chamber)
- Stage 3: Ramp 17°C/min to −21.0°C (chamber)
- Stage 4: Ramp 2.0°C/min to −40.0°C (sample)
- Stage 5: Ramp 10°C/min to −80.0°C (sample)",(89.43±5.12)%,(82.43±5.51)%,stem cells average CFU (36.14±2.06)×10^5(fresh UCB) and (22.25±0.52)×10^5(after thawing),,,https://doi.org/10.1155/2016/1396783,,,,,,,,,,
"1% HAS, 3.5% DMSO, 2.5% HES",3.50%,Uncontrolled; storage at -80C,68.00%,79.6% for CD34+ cells,Not mentioned,"Fresh cryoprotectant soln was made using 7% DMSO, 2% HAS and 5% HES and stored at 4C. It was mixed (vol/vol) with AC at 4C and final concs were achieved. The final components were stored in freezing bags and vials. Freezing bags were kept horizontaly. Uncontrolled-rate freezing was utilised and stored at -80C. ","The transfusions were well tolerated  by the patients, and mortality related to the procedure was only 0.9% (1 of 109). The study shows that conventional controlled-rate freezing is not necessary for successful cryopreservation of PBPCs.",doi:10.1046/j.1537-2995.2001.41050667.x,,,,,,,,,,
"5% DMSO, 6% HES",5%,Uncontrolled; storage at -80C,82.25,96.7% for NCs,,,,doi:10.1046/j.1537-2995.2001.41050667.x,,,,,,,,,,
10% DMSO,10%,Uncontrolled; storage at -80C,90%,86% for NCs,,,,doi:10.1046/j.1537-2995.2001.41050667.x,,,,,,,,,,
5% DMSO,5%,Uncontrolled; storage at -80C,84.70%,86% for NCs,,,,doi:10.1046/j.1537-2995.2001.41050667.x,,,,,,,,,,
5% DMSO,5%,Uncontrolled; storage at -80C,78%,91% for NCs,,,,doi:10.1046/j.1537-2995.2001.41050667.x,,,,,,,,,,
10%  DMSO solution was diluted with ADMEM supplemented with 10%  FBS,10%,Equilibrate at 1°C for 30 min Cool at −2°C/min to −9°C Hold at −9°C to −9.1°C for 5 min Cool at −0.3°C/min to −40°C Cool at −10°C/min to −140°C and then immediately plung into liquid nitrogen,81.2±0.58%,Not mentioned ,55.49±0.06 h close to the contorl (54.28±0.05 h),"trypan blue exclusion test utilized for the viability testing , Flow cytometry assay and Western blotting were used to confirm the pluripotency of WJMSCs , however, the result of cell counting before and after thawing haven't showed in the paper      ADMEM at room temperature and the solution was then stored at 4oC overnight to obtain a homogeneous preparation","This study compared six cryoprotectants and found that 10% DMSO + 10% FBS (Solution C) produced the best freezing results, with a high post-thaw cell survival rate (81.2%). However, removing FBS significantly reduced survival (for example, Solution D had only 6.8%), demonstrating the critical importance of FBS. Freezing increased cell apoptosis (especially Solution B, which had high BAX/p53 expression and poor survival), but did not affect stem cell appearance, markers, or differentiation ability (they could become fat cells or bone cells).",https://doi.org/10.15283/ijsc.2015.8.2.155,,,,,,,,,,
"10%  PVP with an average molecular weight of 40,000 was prepared in ADMEM containing 10% FBS","0
",Equilibrate at 1°C for 30 min Cool at −2°C/min to −9°C Hold at −9°C to −9.1°C for 5 min Cool at −0.3°C/min to −40°C Cool at −10°C/min to −140°C and then immediately plung into liquid nitrogen,62.87±0.35%,Not mentioned ,55.13±0.03,,,https://doi.org/10.15283/ijsc.2015.8.2.155,,,,,,,,,,
"ADMEM containing 10%  FBS by dissolving 0.05 M glucose, 0.05 M sucrose and 1.5 M ethylene glycol","0
",Equilibrate at 1°C for 30 min Cool at −2°C/min to −9°C Hold at −9°C to −9.1°C for 5 min Cool at −0.3°C/min to −40°C Cool at −10°C/min to −140°C and then immediately plung into liquid nitrogen,70%,Not mentioned ,55.79±0.12 h,,,https://doi.org/10.15283/ijsc.2015.8.2.155,,,,,,,,,,
10%PVP,"0
",Equilibrate at 1°C for 30 min Cool at −2°C/min to −9°C Hold at −9°C to −9.1°C for 5 min Cool at −0.3°C/min to −40°C Cool at −10°C/min to −140°C and then immediately plung into liquid nitrogen,6.8±0.23%,Not mentioned ,Not mentioned,,,https://doi.org/10.15283/ijsc.2015.8.2.155,,,,,,,,,,
"ADMEM containing  0.05 M glucose, 0.05 M sucrose and 1.5 M ethylene glycol and 0% FBS","0
",Equilibrate at 1°C for 30 min Cool at −2°C/min to −9°C Hold at −9°C to −9.1°C for 5 min Cool at −0.3°C/min to −40°C Cool at −10°C/min to −140°C and then immediately plung into liquid nitrogen,40%,Not mentioned ,Not mentioned,,,https://doi.org/10.15283/ijsc.2015.8.2.155,,,,,,,,,,
10%  DMSO solution was diluted with ADMEM ,10%,Equilibrate at 1°C for 30 min Cool at −2°C/min to −9°C Hold at −9°C to −9.1°C for 5 min Cool at −0.3°C/min to −40°C Cool at −10°C/min to −140°C and then immediately plung into liquid nitrogen,58%,Not mentioned ,Not mentioned,,,https://doi.org/10.15283/ijsc.2015.8.2.155,,,,,,,,,,
10% HES450,0,Directly to the vapour phase at -134C,10% at day 3,Not mentioned ,Not mentioned,,,doi:10.1186/1472-6750-12-49,,,,,,,,,,
"1% DMSO, 9% HES450",1%,Directly to the vapour phase at -134C,17% at day 3,Not mentioned ,Not mentioned,,,doi:10.1186/1472-6750-12-49,,,,,,,,,,
"2% DMSO, 8% HES450",2%,Directly to the vapour phase at -134C,20% at day 3,Not mentioned ,Not mentioned,,,doi:10.1186/1472-6750-12-49,,,,,,,,,,
"3% DMSO, 7% HES450",3%,Directly to the vapour phase at -134C,22% at day 3,Not mentioned ,Not mentioned,,,doi:10.1186/1472-6750-12-49,,,,,,,,,,
"4% DMSO, 6% HES450",4%,Directly to the vapour phase at -134C,50% at day 3,Not mentioned ,Not mentioned,,,doi:10.1186/1472-6750-12-49,,,,,,,,,,
"5% DMSO,5% HES450",5%,Directly to the vapour phase at -134C,80% at day 3,Not mentioned ,Not mentioned,CPA with 500 ul of prepared cryoprotectant  was introduced to centrifuged cell samples. They were kept on ice until they were cooled according to the protocol. The chamber was cooled to 4C before the protocol was applied and then the cells were stored at -134C liquid nitrogen. MTT assay was used for viability. ALP assays were performed for post-thaw differentiation capacity.,"The paper studies 77 different groups with varying DMSO and HES concs, accross 7 different cooling protocols. Trading off for viability and differentiationability, a formulation of 5% DMSO/5% HES is recommended, using a straight freeze approach to save time.",doi:10.1186/1472-6750-12-49,,,,,,,,,,
"6% DMSO, 4% HES450",6%,Directly to the vapour phase at -134C,70% at day 3,Not mentioned ,Not mentioned,,,doi:10.1186/1472-6750-12-49,,,,,,,,,,
"7% DMSO, 3% HES450",7%,Directly to the vapour phase at -134C,100% at day 3,Not mentioned ,Not mentioned,,,doi:10.1186/1472-6750-12-49,,,,,,,,,,
"8% DMSO, 2% HES450",8%,Directly to the vapour phase at -134C,100% at day 3,Not mentioned ,Not mentioned,,,doi:10.1186/1472-6750-12-49,,,,,,,,,,
"9% DMSO, 1% HES450",9%,Directly to the vapour phase at -134C,80% at day 3,Not mentioned ,Not mentioned,,,doi:10.1186/1472-6750-12-49,,,,,,,,,,
10% DMSO,10%,Directly to the vapour phase at -134C,90% at day 3,Not mentioned ,Not mentioned,,,doi:10.1186/1472-6750-12-49,,,,,,,,,,
a-MEM+200mM sucrose (culture medium with 10% PL),"0
",with the cooling rate of 1 degree/min down to-80 °C with following plunging into liquid nitrogen.,58 ± 4%,(55 ± 5%),42.0 ± 4.8 h,"There are two main process in this experiment 1: find out the optimal concentration of crypprotectant (sucrose 200mM) through pretrement 2:compare the viability, recovery,PDT, Adipogenic differentiation and Osteogenic differentiation ability of different pretrement soultion affect on the ASCs.","The result showed during cryopreservation, their presence only outside the cellsnhas been shown to be insufficient for obtaining satisfactory results. Sugar is required in both the intra and extracellular compartments. The optimal sucrose concentrations for the preservation of ASCs were 100 mM. In general, the presented DMSO-free/xeno-free ASCs preparation process allows preserving about 60% of cells after cryopreservation in the absence of DMSO and FS.",https://doi.org/10.1007/s10616-016-0055-2,,,,,,,,,,
a-MEM+200mM sucrose (culture medium with 10% FS),"0
",same,45 ± 3%,(45 ± 3%),89.2 ± 4.3 h,,,https://doi.org/10.1007/s10616-016-0055-3,,,,,,,,,,
"30% FBS, 5% DMSO, 65% ⍺-MEM",5%,1°C/min; for overnight freezing in a−80°C freezer.,85.07%,Not mentioned ,Not mentioned,Flow cytometry was used to evaluate cell viability. The cells were stained with Annexin-V and DAPI. Annexin-/DAPI- were considered viable,"The results showed that as concentration of DMSO increased, viability increased, however >10% viability decreased. Also as higher concentration of DMSO may cause side-effects in patients, 5% DMSO should be used.",http://dx.doi.org/10.1016/j.jcyt.2016.04.005,,,,,,,,,,
100% 4.5% HAS,0%,1°C/min; for overnight freezing in a−80°C freezer.,5.16%,Not mentioned ,Not mentioned,,,http://dx.doi.org/10.1016/j.jcyt.2016.04.005,,,,,,,,,,
"0.5% DMSO, 99.5% HAS",0.50%,1°C/min; for overnight freezing in a−80°C freezer.,22%,Not mentioned ,Not mentioned,,,http://dx.doi.org/10.1016/j.jcyt.2016.04.005,,,,,,,,,,
"1% DMSO, 99% HAS",1%,1°C/min; for overnight freezing in a−80°C freezer.,28%,Not mentioned ,Not mentioned,,,http://dx.doi.org/10.1016/j.jcyt.2016.04.005,,,,,,,,,,
"2% DMSO, 98% HAS",2%,1°C/min; for overnight freezing in a−80°C freezer.,65%,Not mentioned ,Not mentioned,,,http://dx.doi.org/10.1016/j.jcyt.2016.04.005,,,,,,,,,,
"4% DMSO, 96% HAS",4%,1°C/min; for overnight freezing in a−80°C freezer.,68%,Not mentioned ,Not mentioned,,,http://dx.doi.org/10.1016/j.jcyt.2016.04.005,,,,,,,,,,
"5% DMSO, 95% HAS",5%,1°C/min; for overnight freezing in a−80°C freezer.,85.65%,Not mentioned ,Not mentioned,,,http://dx.doi.org/10.1016/j.jcyt.2016.04.005,,,,,,,,,,
"10% DMSO, 90% HAS",10%,1°C/min; for overnight freezing in a−80°C freezer.,88.50%,Not mentioned ,Not mentioned,,,http://dx.doi.org/10.1016/j.jcyt.2016.04.005,,,,,,,,,,
"15% DMSO, 85% HAS",15%,1°C/min; for overnight freezing in a−80°C freezer.,70.60%,Not mentioned ,Not mentioned,,,http://dx.doi.org/10.1016/j.jcyt.2016.04.005,,,,,,,,,,
"20% DMSO, 80% HAS",20%,1°C/min; for overnight freezing in a−80°C freezer.,64.10%,Not mentioned ,Not mentioned,,,http://dx.doi.org/10.1016/j.jcyt.2016.04.005,,,,,,,,,,
0.3M Trehalose in phosphate buffer saline (PBS),0%,1°C/min; for overnight freezing in a−80°C freezer.,47%,Not mentioned ,Not mentioned,Trypan blue staining was used to evaluate cell viability. Colorimetric asessment at 450 nm was used to obtain OD value to represent cell proliferation. FACS cytometer was used for asessment of cell markers.,"The study found that CPA combination of Trehalose and glycerol improves viability, proliferation and migration compared to Trehalose or Glycerol alone, and comparable to DMSO + FBS. Cells cryopreserved in Trehalose and glycerol also express the same surface markers and exhibit the same multi-lineage differentation potential as DMSO + FBS and fresh cells.",https://doi.org/10.1186/s13287-020-01969-0,Adipose Derived Stem Cell (ADSC),,,,,,,,,
0.6M Trehalose in PBS,0%,1°C/min; for overnight freezing in a−80°C freezer.,56%,Not mentioned ,Not mentioned,,,https://doi.org/10.1186/s13287-020-01969-0,,,,,,,,,,
1.0M Trehalose in PBS,0%,1°C/min; for overnight freezing in a−80°C freezer.,65%,Not mentioned ,Not mentioned,,,https://doi.org/10.1186/s13287-020-01969-0,,,,,,,,,,
1.25M Trehalose in PBS,0%,1°C/min; for overnight freezing in a−80°C freezer.,58%,Not mentioned ,Not mentioned,,,https://doi.org/10.1186/s13287-020-01969-0,,,,,,,,,,
10% Glycerol in PBS,0%,1°C/min; for overnight freezing in a−80°C freezer.,54%,Not mentioned ,Not mentioned,,,https://doi.org/10.1186/s13287-020-01969-0,,,,,,,,,,
20% Glycerol in PBS,0%,1°C/min; for overnight freezing in a−80°C freezer.,63%,Not mentioned ,Not mentioned,,,https://doi.org/10.1186/s13287-020-01969-0,,,,,,,,,,
30% Glycerol in PBS,0%,1°C/min; for overnight freezing in a−80°C freezer.,50%,Not mentioned ,Not mentioned,,,https://doi.org/10.1186/s13287-020-01969-0,,,,,,,,,,
1.0M Trehalose + 20% Glycerol in PBS,0%,1°C/min; for overnight freezing in a−80°C freezer.,77%,Not mentioned ,Not mentioned,,,https://doi.org/10.1186/s13287-020-01969-0,,,,,,,,,,
10% DMSO + 90% FBS,10%,1°C/min; for overnight freezing in a−80°C freezer.,75%,Not mentioned ,Not mentioned,,,https://doi.org/10.1186/s13287-020-01969-0,,,,,,,,,,
10% DMSO,10%,Directly at -80C ,80%,Reported as cell number (feeder independent) or colony number (feeder dependent),Not mentioned,"The study used two types of culture, feeder dependent and independent. For both types, no significant difference was observed in viability across all solutions except for 10% PROH. PI viability, colony count (4-5 days), Annexin V/PI apoptosis, caspase-9, DHE ROS, F-actin, ICC (Oct4/Nanog/SSEA4/Tra1-60/Tra1-81)",The results of viabilty implies that low  cell recovery after slow-freezing cryopreservation is associated with apoptosis rather than necrosis induced by cryoinjury. ,10.1002/btpr.358,Human Embryonic stem cells ,,,,,,,,,
10% DMSO + 10 uM ROCK inhibitor,10%,Directly at -80C ,82%,Reported as cell number (feeder independent) or colony number (feeder dependent),Not mentioned,,,10.1002/btpr.358,,,,,,,,,,
7.5% DMSO,7.50%,Directly at -80C ,84%,Reported as cell number (feeder independent) or colony number (feeder dependent),Not mentioned,,,10.1002/btpr.358,,,,,,,,,,
7.5% DMSO + 10 uM ROCK inhibitor,7.50%,Directly at -80C ,76%,Reported as cell number (feeder independent) or colony number (feeder dependent),Not mentioned,,,10.1002/btpr.358,,,,,,,,,,
7.5% DMSO + 2.5% PEG ,7.50%,Directly at -80C ,87%,Reported as cell number (feeder independent) or colony number (feeder dependent),Not mentioned,,Optimal reduced DMSO.,10.1002/btpr.358,,,,,,,,,,
7.5% DMSO + 2.5% PEG  + 10 uM ROCK inhibitor,7.50%,Directly at -80C ,85%,Reported as cell number (feeder independent) or colony number (feeder dependent),Not mentioned,,,10.1002/btpr.358,,,,,,,,,,
10% PROH ,0%,Directly at -80C ,56%,no colony formation,Not mentioned,,,10.1002/btpr.358,,,,,,,,,,
7.5% PROH + 2.5% PEG ,0%,Directly at -80C ,74%,no colony formation,Not mentioned,,,10.1002/btpr.358,,,,,,,,,,
10% DMSO + 30% FBS,10%,1°C/min  to −80°C,92%,51%,Not measrued ,Trypan blue exclusion test was used for cell viability and cell recovery usind 2 equations. Flow cytometry was used to assess stem cell surface markers that indicate multipotency. ,"Polyampholyte rescues low-DMSO cryopreservation; retains cell size/granularity, multipotency markers (no significant change vs. controls), and multilineage differentiation; scalable GMP synthesis; reduces clinical toxicity risks","https://dx.doi.org/10.1021/acsabm.0c00638
",Human bone marrow-derived mesenchymal stromal (stem) cells (hBM-MSC) ,,,,,,,,,
2.5% DMSO + 30% FBS,2.50%,1°C/min  to −80°C,47%,17%,Not measured ,,,"https://dx.doi.org/10.1021/acsabm.0c00638
",,,,,,,,,,
2.5% DMSO + 30% FBS + 20 mg/ml polyampholyte ,2.50%,1°C/min  to −80°C,76%,30%,Not Measured ,,,"https://dx.doi.org/10.1021/acsabm.0c00638
",,,,,,,,,,
